STKCODE,PER,ROC
095270,1.251410502753243,0.7345349438827672
000880,1.3221862920369754,0.01419030127742164
036710,1.3511546746796126,0.32042691237203774
011300,1.3589556631578947,0.3852263474422525
009970,1.3617624301269158,0.17770506766967617
205470,1.3760306286265087,1.096983877903178
001940,1.4185945145071346,0.17376346426106345
037400,1.4573279839901714,0.15331074916536422
139480,1.5076106941478598,0.13450414131918803
005990,1.538271710110092,0.09846355752594087
016250,1.621307087858079,0.36931735406650873
005810,1.6289168628705482,0.22242709061638766
011200,1.6850603061880436,0.5240564995489441
950130,1.685604513627487,0.7478177887893583
004720,1.7152982984980127,0.38169297464614627
002030,1.7273794051094626,0.09482844248093844
002020,1.7809333446998465,0.14746213800740954
298020,1.7831815862250666,0.6275907092809783
092230,1.8032809737941722,0.09734545560613136
014790,1.8257690817620542,0.0914626075446724
003380,1.8902682447924934,0.11010827688711912
001390,1.9615331534373341,0.16175527100669448
000210,2.0043065529898714,0.0789059209687582
013580,2.0287401107968703,0.19032202899090583
006120,2.1031294960144638,0.051841933325573845
001230,2.1257284266523975,0.2998812889583726
017940,2.143091262931476,0.08131247515484948
001120,2.1689445584507867,0.24437199613284338
005960,2.1887964528906494,0.16684667980984402
003030,2.2112909102877287,0.1843798680891583
034730,2.2445253480014515,0.08966177828117443
124560,2.2786941935795784,0.6294433552065954
011780,2.390100749957334,0.4199396909480975
039560,2.391162752754688,0.24157573422031733
253840,2.4583292159559833,0.5484809192537375
078930,2.4740315822132812,0.13100228439134107
100250,2.515938939267012,0.16488870439482084
052300,2.526678160667174,0.10960726951914257
033160,2.563715857892235,0.09768649185499453
058430,2.583679114799447,0.4234880595442395
005880,2.592662058426516,0.1248786945427651
053060,2.624908531225906,0.17431358379860745
058650,2.652487767065549,0.05425862891538739
002990,2.6821747582424833,0.13494307741928488
084010,2.7493561178385346,0.3409112111441728
007860,2.774772460000583,0.0663506876411855
090740,2.782143777900629,0.3801969253648851
040300,2.783127853510714,0.21105097910575857
