,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,ROA,CurrentRatio,LiabRatio,GrossMargin,AssetTurnover,ROA_prev,GrossMargin_prev,AssetTurnover_prev,LiabRatio_prev,CurrentRatio_prev,SHARES_prev,F_ROA,F_ROA_dt,F_CFO,F_Accrual,F_Liquid,F_Lever,F_Shares,F_Margin,F_Turn,F_Score
84,034120,2022-05-10,48600,76303,3625243550,887075485200,18252582,2021-12-31,Y,1462150000000,2080999999,436446000000,50372000000,318936000000,515466000000,198337000000,0,225086000000,2834000000,4485000000,721597000000,657187000000,912734000000,1078975000000,377151000000,701824000000,184437000000,5307000000,144824000000,136083000000,5520000000,5826000000,47365000000,25727000000,0,140125000000,6.125196688394189,9.904866121806927,1.7706968063849022,0.7143405529679309,0.3495456335874325,0.7379372841363745,-4.943246456645768,0.2596720145337383,0.7359082705352026,0.4226426128812538,2.727026411185914,18252582,1,1,1,0,0,0,1,1,1,6
91,123700,2022-05-10,4200,30127,123948480,65540571600,15604898,2021-12-31,Y,245019999999,64029999999,9003000000,38495000000,42289000000,36948000000,31414999999,0,18594000000,0,3882000000,189478000000,177467000000,155407000000,145726000000,35045000000,110681000000,7738000000,784000000,7425000000,7119000000,532000000,898000000,5562000000,7329000000,220000000,936999999,8.82701301010101,3.0303648681863944,4.206100465519108,0.19499889169191145,0.24048556880721353,0.5947514488637448,1.8949043873572264,0.21756124295985405,0.6165286169687755,0.18737438596693293,4.525186710514184,15604898,1,1,1,0,0,0,1,1,0,5
92,025530,2022-05-10,3690,31866,114086010,55106489520,14934008,2021-12-31,Y,332921000000,64674000000,28633000000,51262000000,43616000000,46434000000,27897000000,0,19671000000,165000000,4482000000,266817000000,152440000000,190326000000,149669000000,39483000000,110185999999,7917000000,1231000000,8824000000,4256000000,1729000000,3091000000,6070000000,7934999999,222000000,3386999999,6.24506907524932,2.6504786420802535,4.098849980617651,0.17402939093086273,0.26380212335219716,0.4495631095665338,1.624787577671981,0.23707727846813562,0.4590689740163711,0.1591046606374997,4.440382323859747,14934008,1,1,1,0,0,0,1,1,0,5
108,000660,2022-05-10,110000,4141923,450008878000,80080260150000,728002365,2021-12-31,Y,96386474000000,8916605000000,3625694000000,5057982000000,8427471000000,14769356000000,8413050999999,0,19426060000000,2731504000000,95205000000,62191057999999,62157072000000,26870451000000,42997792000000,18952192000000,24045600000000,12410340000000,744854000000,9616188000000,9602316000000,1469860000000,2377516000000,3799799000000,9862565000000,795933000000,19797648000000,8.327651263681616,9.976698597772131,1.819338026654649,0.23748359450646808,0.4407712842557125,0.44609777923819477,6.68632341711218,0.3388867506375622,0.4482041740806136,0.17477399000024987,1.8265316852505853,728002365,1,1,1,1,0,0,1,1,0,6
129,267290,2022-05-10,25400,93149,2324734200,149743312400,5895406,2021-12-31,Y,904492000000,1410000000,93944000000,159408000000,275119000000,451737000000,441131000000,0,77339000000,2000000000,0,375416000000,375145000000,530447000000,1457154000000,113889000000,1343265000000,27132000000,25980000000,22151000000,22124000000,846000000,2818000000,7550000000,25067000000,921000000,138737000000,6.7601152273035074,2.44899899612158,1.1742385503069264,1.2032971423700642,0.0781585199642591,1.6110192240506274,2.7180422434961082,0.09511414378132386,1.5533746487569642,0.7305104323787842,1.2607298978726345,5895406,1,0,1,1,0,0,1,0,1,5
130,012320,2022-05-10,36300,2390,86718950,85850334900,2365023,2021-12-31,Y,577693000000,33500000000,91629000000,17672000000,51729999999,61146000000,27763000000,73000000,76794000000,4922000000,26648000000,439753000000,431664999999,232298000000,298461000000,38438000000,260023000000,14215000000,1261000000,13891000000,14638000000,2479000000,1557000000,2266000000,11732000000,644000000,25396000000,6.180284709524153,2.4045643620400456,3.799071075785824,0.13904623731958624,0.12878734575036604,0.5166429227980952,2.7973214679658835,0.13792737003796698,0.5269719894514983,0.17296544359191632,3.1820976054976913,2365023,1,0,1,1,1,1,1,0,0,6
133,012610,2022-05-10,7020,620723,4243229410,292006482300,41596365,2021-12-31,Y,579492000000,136531000000,5373000000,82939000000,91438000000,269212000000,61394000000,0,58410000000,0,1082000000,251869999999,230328000000,325579000000,403326000000,101910000000,301416000000,28355000000,4597000000,27210000000,24374000000,4311000000,699000000,5021000000,17814000000,1245000000,9231000000,10.731587001102536,4.69549191360709,1.209377739476695,1.0688529797159998,0.2526740155606135,0.6959992545194756,-1.5010829493844806,0.2082037702847148,0.6519712850077806,0.9469529122260073,1.2168893081237544,41596365,1,1,1,0,0,0,1,1,1,6
162,008350,2022-05-10,2800,2852698,7841111295,308501452000,110179090,2021-12-31,Y,355238000000,36559000000,5101000000,25441000000,43066000000,69337000000,37382000000,0,49970000000,0,18420000000,235931000000,235931000000,116528000000,230344000000,14379000000,215965000000,-6912000000,505999999,41689000000,41689000000,1526000000,5028000000,8363000000,5130000000,0,12056000000,7.400068411331526,11.735512529628025,1.680603429626318,0.2938867719799433,0.062424026673149724,0.6484216215607564,3.5706904554586942,0.07124685724927833,0.9096129803864437,0.3358252657680234,1.766094825148459,110179090,1,1,1,0,0,1,1,0,0,5
166,005720,2022-05-10,4415,35237,155716410,236396658455,53543977,2021-12-31,Y,4572292000000,535133000000,179241000000,363023000000,502372999999,1152902000000,526497000000,0,1302593000000,44711000000,257654000000,2116797000000,1098429999999,1645488000000,2403881000000,508704000000,1895178000000,33579000000,32318000000,29422000000,28841000000,65554999999,79429000000,18222000000,194604000000,9876000000,236048999999,8.034690315240296,0.643484711825054,1.4272574772183586,0.5446445738537989,0.21161779638842354,0.5257496677814978,0.0181401637851563,0.25272334364217874,0.46436366003870533,0.4159553887538156,1.5829102288238697,53543977,1,1,1,1,0,0,1,0,1,6
173,005250,2022-05-10,20050,119208,2354482200,942915610500,47028210,2021-12-31,Y,3496833999999,506995000000,66308000000,335569000000,492417000000,925912999999,306997000000,0,660192000000,13163000000,1857000000,1910729000000,1025425000000,1424864000000,1840559000000,628541000000,1212017000000,86244000000,11995000000,127658000000,55270000000,48891000000,57807000000,52354999999,53587000000,8857000000,103769000000,7.386263379498347,3.6506737237179836,1.5388746026911155,0.48458624954088203,0.3414946220142902,0.5263501212812866,5.5533718663631575,0.30842958228998363,0.5304593789584852,0.6589646495584162,1.3926683339711166,47028210,1,0,1,0,1,1,1,1,0,6
