STKCODE,P_RIM
007700,0.04921169270913364
095270,0.12006315061924366
011300,0.13529796539536415
205470,0.1376030628626509
139480,0.1509036295262119
016250,0.16146938267720207
005810,0.16392385773075294
011200,0.1685087260045231
950130,0.1701369617432639
004720,0.17148445892303546
014790,0.1825752181813133
013580,0.20352469157203795
000210,0.20449863488999964
001230,0.21525331368022604
039560,0.21643720978915307
005960,0.21785833837839433
002020,0.21912796066265752
017940,0.22200205577255214
001940,0.22332784169351128
124560,0.23037262216356905
298020,0.2381079687768302
011780,0.23902906076671973
023590,0.24275567607341408
253840,0.24581789375553995
052300,0.2495177521944396
058430,0.2500736298160594
090740,0.2539928244905684
053060,0.2624908531225906
006120,0.26781359586650405
002990,0.2682174758242483
