,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,EBIT,GreenBlatt
10,000590,2022-05-10,66700,3379,222804800,77003949400,1154482,2021-12-31,Y,353717000000,45133000000,18745000000,97563000000,25635000000,29189999999,21961000000,0,12331000000,1713000000,2375000000,312196000000,256883000000,189086000000,159018000000,40942000000,118076000000,19648000000,1316000000,21066000000,14663999999,4158000000,10103000000,4562000000,3378000000,307000000,8114000000,3.6553664388113547,19683000000,0.060651347961615976
11,012030,2022-05-10,977,873129,831047164,196546932541,201173933,2021-12-31,Y,601999000000,3439000000,10566000000,16710000000,46339000000,50552000000,29907000000,0,113661999999,0,355000000,437784000000,437784000000,84468000000,326915000000,61817999999,265096999999,23473000000,4635000000,21705000000,21705000000,5867000000,4943000000,6348000000,3688000000,3590000000,18588000000,9.055375836950011,28977000000,0.05254720761922723
12,000990,2022-05-10,66500,937901,60488765200,2952506102000,44398588,2021-12-31,Y,1549938000000,66016999999,288700000000,183018000000,257892000000,335337000000,146384000000,0,108551000000,10607000000,0,1106050000000,1106050000000,815162000000,1214682000000,535197000000,679485000000,399107000000,8808000000,316892000000,316892000000,6282000000,7829000000,103548000000,137898000000,6883000000,393129000000,9.31707364654204,418893000000,0.3448811585039038
13,001530,2022-05-10,23700,98356,2273046300,605967999000,25568270,2021-12-31,Y,993144000000,142126000000,11345000000,52179000000,131305000000,306523000000,61084000000,0,113115000000,6766000000,0,573505000000,550654000000,349478000000,813085000000,111634999999,701451000000,48593000000,3938000000,46335000000,42007000000,13977000000,15319999999,15551000000,20001000000,164000000,24849000000,13.077975590806085,60543000001,0.08817528156144365
14,000210,2022-05-10,63000,84631,5245071700,1320220692000,20955884,2021-12-31,Y,8322963000000,329717000000,74386000000,1756188000000,321071000000,1460931000000,413137000000,0,2331810000000,34033000000,1641000000,4530222000000,3933223000000,2512732000000,2385421000000,450201000000,1935220000000,221892999999,0,875037999999,865414000000,75646000000,20936000000,106165000000,121970000000,26799000000,300778000000,1.5087581247917334,1035912999999,0.15096300920762246
15,001880,2022-05-10,24250,51818,1247485800,534792137000,22053284,2021-12-31,Y,1669600999999,38068000000,75668000000,578224000000,518227000000,548946000000,411091000000,0,162764000000,1027000000,5689000000,957891000000,957891000000,1240959000000,2010343999999,304763000000,1705582000000,229634000000,3625000000,175561000000,175561000000,8822000000,7483000000,49535000000,9074000000,3568000000,80350000000,3.0461898542386976,226435000000,0.20205594049926343
16,375500,2022-05-10,52700,487668,25261065300,2039153932100,38693623,2021-12-31,Y,8701689999999,939556000000,337037000000,2044761000000,868242000000,3136740000000,1362029000000,0,1067804000000,15941999999,6998999999,4497147000000,4167944000000,5354346000000,7631650999999,1386371000000,6245280000000,957258000000,0,635836000000,577044000000,40846000000,60247000000,273415000000,66726000000,12890000000,580429000000,3.207043847941922,889850000000,0.1599026046954887
17,004840,2022-05-10,5650,102246,555186270,112604500000,19930000,2021-12-31,Y,831957000000,110921000000,16877000000,107263000000,137118000000,311773000000,75144000000,0,44628000000,740000000,0,475556000000,364560000000,384838000000,551337000000,107172000000,444166000000,578000000,3865000000,-2797000000,-4054000000,16974000000,18631000000,-5069000000,24339000000,1237000000,-48339000000,-40.25902752949589,-9523000000,-0.01830698368269689
18,155660,2022-05-10,6270,243080,1469658380,100320000000,16000000,2021-12-31,Y,302599000000,87915000000,18763000000,15855000000,50553000000,115596000000,39167000000,0,8984000000,17000000,457000000,178019000000,175862000000,185738000000,272417999999,35451000000,236966000000,13454000000,101000000,12539000000,12290000000,2295000000,2384000000,3401000000,8431999999,0,5332000000,8.000638009410638,15851000000,0.08476334604257686
19,069730,2022-05-10,6020,336816,1964407740,86688000000,14400000,2021-12-31,Y,241711000000,50814000000,4688000000,12520000000,54272000000,82517000000,24284000000,227000000,5360000000,0,101000000,153835000000,153835000000,122541000000,207142999999,17674000000,189469000000,4292000000,208000000,7620000000,7620000000,1867000000,1657999999,1331000000,6022000000,0,-13140000000,11.376377952755906,9160000001,0.057539857036069196
20,017940,2022-05-10,48800,54742,2672662600,334768000000,6860000,2021-12-31,Y,3999326000000,466147999999,175290000000,104482000000,841091000000,1311736000000,608042000000,0,1314183000000,32301000000,2349000000,1373407000000,1307891000000,1629021000000,5152301000000,271910000000,4880391000000,5575000000,34963000000,138568000000,131758000000,45645000000,14594000000,35788000000,108841000000,3726000000,51300000000,2.415911321517233,205407000000,0.07642795218020605
21,383220,2022-05-10,124500,264671,32190943500,4769230837500,38307075,2021-12-31,Y,1146495000000,242296999999,7031999999,14565000000,118403000000,563665000000,187756000000,0,35407000000,4619000000,753000000,547422999999,547422999999,584010000000,1089171999999,796420000000,292753000000,322684000000,28156000000,231926000000,231926000000,4736000000,1273000000,90607000000,27420000000,913000000,291504000000,20.563588547640194,325996000000,0.55933291011101
22,007700,2022-05-10,23700,50747,1180333900,927010497900,39114367,2021-12-31,Y,2912305000000,243751000000,45823000000,71088000000,120256000000,573601000000,188927000000,0,24367000000,5549000000,1279000000,2314337000000,1933765000000,683167000000,727126000000,516917000000,210210000000,223050000000,13241999999,2017966999999,1912062000000,7815000000,24215000000,71145000000,26699000000,824000000,279948000000,0.4593784228882134,2072711999999,0.886265213553746
23,114090,2022-05-10,14000,355786,4917674650,865979380000,61855670,2021-12-31,Y,531306000000,3040000000,127161999999,98474000000,7788000000,101124000000,67817999999,0,46634000000,0,6844000000,383548000000,383548000000,236965000000,85087000000,-119099000000,204185000000,-145829000000,4236999999,-113272000000,-113272000000,3817000000,4855000000,-34029000000,35932000000,400000000,-128217000000,-7.645131894907832,-148339000000,-0.3448284679507743
24,078930,2022-05-10,47350,532647,25302965100,4399543148300,92915378,2021-12-31,Y,31191287000000,629020000000,1292842000000,1204959000000,1808907000000,5501784000000,1917055000000,0,11486559000000,238119999999,-22056000000,14202944000000,10288563000000,5388853000000,20240085000000,4964705000000,15275379999999,2640272000000,574184000000,1614682000000,1448999000000,370427000000,185058000000,1223174000000,0,0,1013945999999,2.724711830750575,3023225000000,0.11768328098834765
25,006360,2022-05-10,39700,643676,25302797350,3397585153000,85581490,2021-12-31,Y,15183726999999,1477100000000,468726000000,2718390000000,2126448000000,6769327000000,2734148000000,0,3541676000000,81443000000,9263000000,4872724000000,4625316000000,8195112000000,9036575000000,1350757000000,7685819000000,646486000000,53390000000,428803000000,408477000000,182459000000,127724000000,229127000000,121484999999,32364999999,1107469000000,7.923417403796149,712665000000,0.08469587849402033
26,001250,2022-05-10,4075,7968496,32972935790,336325088300,82533764,2021-12-31,Y,1442682000000,296513000000,4269000000,61976000000,588040000000,926643000000,274214000000,2828000000,173525000000,1188000000,1845000000,342514000000,331082000000,1038727000000,3849041000000,135047000000,3713994000000,38847000000,7493000000,22028000000,23322000000,15284000000,8666000000,4346000000,22260000000,293000000,-344281000000,15.268071922099146,32992000000,0.06393315233926118
