,STKCODE,PER,PBR,PSR,PCR
1354,036710,1.3511546746796126,0.4196835517753864,0.14232394973949739,1.7833115289343033
460,009970,1.3617624301269158,0.213545831881954,0.19707839267427546,1.7958071243461928
48,001940,1.4185945145071346,0.19888851265889868,0.15998829768488781,1.8339013428372242
500,139480,1.5076106941478598,0.262245321184748,0.13273982878544158,0.7633695744160223
833,016250,1.621307087858079,0.6080052769695933,0.10605845598338588,1.4036676443316887
430,002030,1.7273794051094626,0.19249780559318574,0.17390646336207877,1.4902248580215045
50,092230,1.8032809737941722,0.18474883846531132,0.2026346150915997,2.269475932282177
667,014790,1.8257690817620542,0.4541428237474673,0.13776263876957204,1.350796543007807
14,000210,2.0043065529898714,0.2860438882639345,0.47857855913209063,1.696346515941959
137,013580,2.0287401107968703,0.40963127050770914,0.11662886708748202,1.7370683894766603
99,006120,2.1031294960144638,0.2390883338390337,0.10065263174005962,1.7785056039994251
228,001230,2.1257284266523975,0.5616446032509542,0.21417761899131205,1.6920714810129969
785,900290,2.1886158017664905,0.11525332794227419,0.20323472880430582,1.446585101852509
232,005960,2.1887964528906494,0.5125343999249645,0.24985110814758366,1.9148879609204201
382,003030,2.2112909102877287,0.362699835469807,0.19056551842808214,2.197173500890565
95,034730,2.2445253480014515,0.26743545526268725,0.17069894370172892,1.7484578005822593
25,078930,2.4740315822132812,0.29926955329653115,0.19176284964340393,2.085636177172333
156,002990,2.6821747582424833,0.5527929575826075,0.17719555001779994,2.4829854315895044
2170,007770,2.7925728354534263,0.5526087858797388,0.4867406783471085,2.328435658708551
1719,024800,2.797180778264331,0.3001191479800106,0.3467243779342723,3.129553450513791
147,007690,2.8085972853137995,0.5712512864924868,0.28379791722643316,2.373524621812293
1677,030530,2.835466354000012,0.26655624033243885,0.45301155550347727,2.2778985682855044
342,000070,2.9164869118115786,0.27951051419862155,0.2153702183933133,2.2066839875357775
1678,012620,3.0201884253028264,0.40041683320961574,0.1646518098491719,2.4333116460637605
84,005490,3.021544646876348,0.4209734865372741,0.2948905367659599,2.256860407142763
650,006200,3.022149346073455,0.2513235950982705,0.2336274263290774,2.057254567917946
729,004020,3.0851889589551376,0.2959688811331047,0.219710330560757,1.6640542303340713
114,036530,3.1047475148049366,0.1541082632782953,0.2022753575265195,3.4463266065406994
57,093050,3.2134780539756633,0.3696945563418972,0.30734121910095313,1.9950901430259114
97,018670,3.271537349885627,0.495427099218565,0.1480897345842415,2.340146058994444
380,001430,3.3127076959837374,0.32096412188029416,0.1551159885944015,1.9999795771685398
1265,035890,3.316724310871861,0.6046733469084062,0.29940281065227947,2.5351647244847304
722,004560,3.328969514706872,0.4772134758520343,0.24616334911784263,2.7030343152579053
641,036460,3.359857510131634,0.4124564445588976,0.11788817760888577,1.3604084771220981
378,004360,3.3670220420650097,0.2393803250983919,0.18563198463123914,2.1165294808506356
1727,023410,3.4301185962523504,0.3987962784193704,0.27117083966374494,2.7339906516795867
630,103140,3.43091869668433,0.4915124714885977,0.21592418873693028,2.444540458788176
216,001130,3.4361507457152767,0.32654777736102114,0.24561643484282428,2.001365358894338
752,004800,3.472600518649572,0.5989512717731741,0.4541045647475678,3.2537381750331638
185,008060,3.4955743558411183,0.1918624883348262,0.1823071176050156,1.4698051817106994
28,007070,3.512367751468562,0.6312109561719145,0.2642426200819756,1.373977344067712
762,005010,3.582875873663531,0.2963463889917488,0.26842476772737245,2.822684470570727
16,375500,3.615309622132038,0.44919588817430744,0.2738301436029666,3.468745259710988
