,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Liab_Total,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,REV,GROSS,OPR,SGA_2,NETINC,NETINC_1,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,EPS,EPS_prev,EPS Growth,PEG
16,375500,2022-05-10,52700,487668,25261065300,2039153932100,38693623,2021-12-31,Y,8701689999999,337037000000,2044761000000,3136740000000,3136740000000,1362029000000,0,1067804000000,15941999999,6998999999,4497147000000,4167944000000,7631650999999,1386371000000,957258000000,0,635836000000,577044000000,66726000000,12890000000,16432.578567274508,0.0,inf,0.0
17,004840,2022-05-10,5650,102246,555186270,112604500000,19930000,2021-12-31,Y,831957000000,16877000000,107263000000,311773000000,311773000000,75144000000,0,44628000000,740000000,0,475556000000,364560000000,551337000000,107172000000,578000000,3865000000,-2797000000,-4054000000,24339000000,1237000000,-140.3411941796287,314.5007526342198,-144.62348436502873,0.2783713012188419
18,155660,2022-05-10,6270,243080,1469658380,100320000000,16000000,2021-12-31,Y,302599000000,18763000000,15855000000,115596000000,115596000000,39167000000,0,8984000000,17000000,457000000,178019000000,175862000000,272417999999,35451000000,13454000000,101000000,12539000000,12290000000,8431999999,0,783.6875,561.0,39.69474153297683,0.20155410264515825
19,069730,2022-05-10,6020,336816,1964407740,86688000000,14400000,2021-12-31,Y,241711000000,4688000000,12520000000,82517000000,82517000000,24284000000,227000000,5360000000,0,101000000,153835000000,153835000000,207142999999,17674000000,4292000000,208000000,7620000000,7620000000,6022000000,0,529.1666666666666,366.59722222222223,44.3455199848456,0.25653950966509376
20,017940,2022-05-10,48800,54742,2672662600,334768000000,6860000,2021-12-31,Y,3999326000000,175290000000,104482000000,1311736000000,1311736000000,608042000000,0,1314183000000,32301000000,2349000000,1373407000000,1307891000000,5152301000000,271910000000,5575000000,34963000000,138568000000,131758000000,108841000000,3726000000,20199.41690962099,8211.51603483965,145.9888871180343,0.016548597425528225
21,383220,2022-05-10,124500,264671,32190943500,4769230837500,38307075,2021-12-31,Y,1146495000000,7031999999,14565000000,563665000000,563665000000,187756000000,0,35407000000,4619000000,753000000,547422999999,547422999999,1089171999999,796420000000,322684000000,28156000000,231926000000,231926000000,27420000000,913000000,6054.390735914972,0.0,inf,0.0
22,007700,2022-05-10,23700,50747,1180333900,927010497900,39114367,2021-12-31,Y,2912305000000,45823000000,71088000000,573601000000,573601000000,188927000000,0,24367000000,5549000000,1279000000,2314337000000,1933765000000,727126000000,516917000000,223050000000,13241999999,2017966999999,1912062000000,26699000000,824000000,51591.452317226554,2182.2671960919115,2264.1216991951546,0.0002028947574026221
23,114090,2022-05-10,14000,355786,4917674650,865979380000,61855670,2021-12-31,Y,531306000000,127161999999,98474000000,101124000000,101124000000,67817999999,0,46634000000,0,6844000000,383548000000,383548000000,85087000000,-119099000000,-145829000000,4236999999,-113272000000,-113272000000,35932000000,400000000,-1831.2306697187178,-1039.9531683999219,-76.08780138977413,0.10047776063004109
24,078930,2022-05-10,47350,532647,25302965100,4399543148300,92915378,2021-12-31,Y,31191287000000,1292842000000,1204959000000,5501784000000,5501784000000,1917055000000,0,11486559000000,238119999999,-22056000000,14202944000000,10288563000000,20240085000000,4964705000000,2640272000000,574184000000,1614682000000,1448999000000,0,0,17377.98451403814,-2020.9356517927527,959.8979635310159,0.0028385431934115513
25,006360,2022-05-10,39700,643676,25302797350,3397585153000,85581490,2021-12-31,Y,15183726999999,468726000000,2718390000000,6769327000000,6769327000000,2734148000000,0,3541676000000,81443000000,9263000000,4872724000000,4625316000000,9036575000000,1350757000000,646486000000,53390000000,428803000000,408477000000,121484999999,32364999999,5010.464295491934,3852.188130868018,30.068006163627313,0.2635165551276544
