,STKCODE,CLOSE_PRICE,RIM
794,044180,1290,-5861.487555798323
1052,300120,12350,-5851.723245326295
1829,204270,6000,-5810.871458371947
1135,214610,7060,-5779.709606620666
2031,034230,15100,-5776.60616789443
893,138610,20300,-5764.511278406914
1075,038060,1400,-5689.657763832075
1397,289010,5950,-5677.067004704666
844,217730,3535,-5627.086879422109
290,033920,8400,-5626.666666666666
1314,099440,2055,-5625.666557624655
1858,228760,11700,-5620.461569522134
944,068240,29850,-5590.170682940739
2161,086960,22950,-5586.6625403931
1744,351330,12150,-5529.334549473247
1582,323230,1285,-5513.407589805118
367,007610,3000,-5493.333333333332
1513,115450,7990,-5488.075379482844
882,187790,1385,-5481.811436104922
1440,117670,2885,-5445.399331709571
182,006370,10650,-5389.216078825972
447,015260,2395,-5349.114085437815
114,011810,4160,-5336.9056652397885
2018,246710,20250,-5330.424773725079
905,950220,6090,-5315.08987456238
1461,038680,7650,-5253.585856643256
1608,352910,14100,-5243.293535885383
1215,054540,5090,-5215.384615384615
534,025620,1285,-5181.759025792755
181,019680,3715,-5151.4205248111475
1511,067630,9500,-5146.909705965714
517,003120,83000,-5142.857142857142
912,007390,16600,-5113.737922583841
1876,219750,1425,-5097.419471943551
1111,140410,17950,-5086.751493473678
2172,048410,29150,-5080.3172027329065
875,204620,2910,-5006.995214506705
1832,322510,5890,-4991.271863586312
1305,304100,11500,-4977.782308777385
1854,051980,1020,-4966.071190065665
1512,047920,8250,-4939.623319548624
888,091970,1610,-4930.1248111451305
787,099520,1285,-4906.202828008207
1068,277810,21000,-4860.797012050785
1969,365270,19250,-4844.055927012161
1442,293780,16600,-4793.517302628753
1379,052710,27550,-4791.958787307026
1556,208860,2205,-4747.522755209496
157,001210,2205,-4700.633272037191
1720,178780,1730,-4633.987368076675
2157,123840,789,-4581.717791250292
374,002420,10500,-4548.196856248919
1417,372800,12400,-4517.93151438987
1441,291650,10650,-4512.300524161832
658,123690,9800,-4492.78068210107
1614,031510,2245,-4428.928571428571
1952,166480,13350,-4399.413436056295
390,012600,2490,-4377.044103500094
2023,062860,8600,-4362.526233905144
1004,088910,3530,-4276.517856078276
1233,042940,1585,-4268.885508635488
474,010400,7510,-4214.117028339018
2008,079970,1140,-4052.224096755968
627,950210,15900,-4023.8847227414126
1414,119830,8500,-4008.1985411495093
1357,222080,13200,-4000.4892127259245
2104,304840,10550,-3996.5352583410754
566,000650,66500,-3974.1957151453244
1153,032980,1555,-3952.719472192669
1714,056090,10800,-3938.893106049426
347,000520,8080,-3902.4511290432642
2012,026150,11550,-3891.981748207075
473,105840,14400,-3854.1373596251137
1406,078860,967,-3836.442677970438
2110,299030,55600,-3836.3907150513105
2197,215090,1505,-3784.6957112867867
1415,052770,2085,-3783.9192055352814
354,011230,3560,-3755.0416238762127
1404,307180,3925,-3752.9340010320234
1391,227610,1495,-3751.3219802940175
1013,030350,2130,-3747.790806261762
873,186230,15200,-3737.458166161253
1296,950200,5640,-3690.375749867262
1997,066700,4810,-3650.255962882803
1954,196450,2530,-3640.321137926068
1996,182690,1440,-3634.1474340206855
1327,269620,889,-3626.2886782367946
1416,124500,4865,-3608.21813750742
2081,335810,8220,-3600.237032946851
1786,150840,5850,-3594.1813073801814
876,019660,3085,-3589.8556431018237
1366,189330,18250,-3543.88477463481
1115,096640,1715,-3522.879147298803
1400,068940,3435,-3475.518056344281
461,012280,1490,-3468.708999175102
1054,069540,4565,-3444.8680674620127
2163,002680,2295,-3435.091659748847
1012,073190,2955,-3424.9551304975585
1803,234920,3250,-3421.7949864421535
872,204020,3040,-3400.4337029586404
502,074610,4035,-3385.6376157172285
1807,110020,4850,-3324.2033368504494
2165,076610,935,-3313.6796142884236
1486,234300,4325,-3302.6496499152827
1948,082660,1100,-3300.5624552981485
1316,131100,3300,-3297.7898522598307
1134,059090,10450,-3287.8693451535028
601,004100,1380,-3276.8392370572205
798,226360,879,-3250.2426985223206
697,005110,690,-3238.79516041476
2049,032800,709,-3198.1637351608742
941,340360,1950,-3188.5768695826223
1899,317530,8700,-3156.291377771537
1206,122350,3790,-3147.6734603343584
132,214390,8000,-3135.083402839185
1157,323990,43200,-3128.8182355646063
1782,035080,4520,-3115.745381287441
1029,127120,4325,-3110.9526761878897
1546,317870,12050,-3109.2684477558328
2055,222110,7880,-3099.9388441067913
1949,222040,6090,-3099.185573007562
1364,115480,1110,-3096.94254175894
386,033530,7000,-3065.314674068951
1401,052860,3645,-3061.100986438113
324,006660,13500,-3059.1975648492044
1817,187420,5890,-3029.911093865908
1370,060590,10000,-3026.3404934944842
1443,196300,11300,-3016.4803332621755
1031,134580,9520,-2974.015114859895
1185,082800,1125,-2967.7072459112323
479,010600,1660,-2952.3376227855133
1459,136510,11600,-2945.69663268886
1077,060240,6210,-2929.299935853483
678,004710,6550,-2905.6479130814514
607,214420,5640,-2886.7420592456415
2155,024740,3575,-2875.750451769824
413,002870,2080,-2869.0998235060224
604,007980,2430,-2867.52199972141
507,014990,965,-2844.1731254630076
1700,086390,25600,-2833.3322135015183
1016,060570,4470,-2832.0512364375513
1181,369370,4700,-2813.929952777431
830,161570,1315,-2805.6521183892787
769,056000,2860,-2794.5928608826725
1386,246720,5130,-2788.8366626847574
1475,351320,3765,-2772.5434261423775
1049,317120,7350,-2764.4044106227675
116,071970,5010,-2759.64415960868
822,255220,1850,-2712.659503964499
261,013570,8480,-2666.0706097231673
659,003350,29050,-2652.2506619593996
1624,057540,2460,-2634.9127991120654
909,290660,2585,-2622.0572864165424
2096,057880,1740,-2617.850954117958
1925,042040,747,-2605.78937359582
1849,034940,3050,-2596.5283795806868
1935,080530,1670,-2591.256152333484
1902,050110,1795,-2585.87579739185
1562,291230,9160,-2558.2757745556123
1653,066590,3875,-2553.512457874771
1214,361670,8740,-2549.5539780276085
346,004440,9780,-2534.5691432740023
1901,180400,7740,-2533.3806621397603
572,001620,715,-2528.0112490886854
170,003580,6660,-2515.5435667030633
147,001140,1420,-2513.0609257211486
1250,189860,12400,-2507.5318751430596
2074,220100,16400,-2497.814229960026
1107,054180,719,-2485.8195858301574
1883,085660,17000,-2482.391600900528
158,073240,4075,-2476.7781423263705
773,245620,3640,-2458.135135012659
443,023960,2950,-2456.531995694626
1924,024880,5770,-2428.569412893485
1169,014470,2600,-2428.0518335196707
2190,090710,3345,-2387.570204185728
2141,053590,813,-2386.3509063498705
1974,182360,15200,-2383.2485300101334
2040,047310,7000,-2377.03851650717
1768,001840,7360,-2362.948960302457
917,137940,1000,-2330.7927458324325
931,126870,2230,-2320.185224238929
2010,105550,3590,-2310.4245481584708
1980,083790,4640,-2296.2898073990355
1672,008290,1075,-2292.4936327334763
932,060260,1270,-2291.739613864671
950,007720,1175,-2271.9144606993323
916,065170,1160,-2271.6503332298944
1801,254120,2160,-2265.328122973461
1098,377030,15450,-2234.248804581188
2003,200230,1990,-2218.477675394225
1716,340930,16650,-2211.762642738786
695,003480,4460,-2206.922279085285
2063,318020,18100,-2193.129321499333
412,019170,27900,-2186.2795482267716
539,002620,12400,-2179.8801817151125
799,111870,589,-2167.9556797163636
942,039560,7480,-2151.9570274879316
858,038530,797,-2115.491742990988
1506,312610,4460,-2102.4947168587787
1627,153710,9470,-2099.528846640188
1794,333430,4090,-2099.473790700981
1552,031860,1685,-2092.15869248163
1483,096630,1430,-2091.947800779044
804,114450,5620,-2090.6666666666665
1080,016100,3400,-2074.7719975829405
1149,086820,14350,-2069.153695262903
563,011000,10200,-2053.463904337393
17,004840,5650,-2034.1194179628696
282,017180,3465,-2021.8856084568008
628,009810,1670,-2007.53332704839
294,396690,6030,-1995.8706125258084
1641,332570,5330,-1988.0803490319524
1688,299900,28700,-1967.1338870965776
1947,009730,2715,-1966.5895568673118
281,090370,800,-1946.9040133516096
2107,161580,8670,-1945.5087466717039
136,012200,3585,-1905.2147239263802
1873,065060,738,-1895.2525978377855
2189,353190,1725,-1894.1950088091792
1934,078940,1830,-1890.7913316092086
1581,123040,5160,-1886.739229796674
1743,131400,1755,-1883.1287572264205
1237,294630,3040,-1868.2360597611125
561,051630,4785,-1844.1666666666665
1921,036030,6170,-1818.2640492722016
764,013720,2195,-1814.660684759948
312,005030,824,-1780.1058738582778
1468,103230,2505,-1776.3888888888887
453,900140,3540,-1748.5242641224027
1147,208710,1620,-1741.1909591688545
582,071950,1075,-1733.5760814386028
569,377300,91900,-1731.1885978597436
2120,106190,11400,-1728.082482999195
204,024890,2700,-1698.459158627067
1050,042510,3335,-1697.0654836070248
2045,131760,1295,-1665.393452289809
1692,097800,1755,-1664.279407586597
1613,226400,3350,-1664.0067064371271
1439,085810,2430,-1654.328038461796
232,002210,7980,-1652.429009343331
836,073570,1355,-1638.838244020233
1847,041590,1975,-1617.6748739359443
862,014200,2825,-1614.1035497533721
1804,289220,26150,-1609.8705261056878
648,025890,3770,-1608.4166080200305
1217,032280,2740,-1606.0601014334272
1497,054630,368,-1603.4483033325241
886,247660,31000,-1601.8018522145433
899,168330,6350,-1599.4381969396848
422,004920,1150,-1579.656685110345
2077,203690,2645,-1577.6026260788128
1610,052420,2150,-1568.98350598295
1333,215600,12100,-1555.9878824259933
884,151910,4910,-1555.0928477256991
1110,065650,2110,-1549.6621316981702
1308,084180,1525,-1548.179517334545
2027,130740,3555,-1530.592473191797
289,009200,3125,-1529.9460625518661
896,267320,2890,-1496.8314233777908
1656,215380,4860,-1496.1738035037497
555,010580,1530,-1492.6505432363497
1243,043710,1490,-1477.0953702137194
1896,284620,2555,-1467.4695350717616
957,332290,3065,-1463.7230075575508
805,060370,5610,-1453.4246575342468
1841,276730,2620,-1448.318779403448
178,058730,6570,-1438.6817314262069
146,005320,2180,-1436.6621577512524
1017,217620,1325,-1426.3512499312153
1541,054940,1270,-1408.351015091904
293,007120,416,-1396.3871469424969
868,006050,1715,-1392.739978913458
1802,043910,2080,-1381.8415040452012
883,286750,2705,-1379.9473421085409
2151,042520,10550,-1363.9538666854862
1044,263020,3400,-1348.026239688211
915,089140,3650,-1334.4023803836049
205,002880,1135,-1306.4960037834776
1521,230980,1195,-1298.1143663584082
1168,226340,2385,-1296.1082614898253
1760,088290,8490,-1295.9823974760884
490,000220,7090,-1284.792771456431
1278,258830,3750,-1276.7282706909837
480,008600,1250,-1272.0856444264957
2200,263920,4555,-1259.656054767839
86,001380,1790,-1234.539263875217
770,065770,3210,-1228.1613692762862
920,225570,20000,-1211.328818128745
2166,059270,7740,-1210.3594080338264
1956,102940,34500,-1204.8344794010984
1728,303530,18850,-1197.8184156337243
1446,205500,3580,-1187.64130509999
1361,297090,13350,-1184.7104505031105
2174,016790,129600,-1178.768637145097
1971,040350,1115,-1154.528788410309
1493,317830,9190,-1153.9830830990581
1271,340440,3170,-1131.137296115971
815,327260,12650,-1113.8969511948892
201,000430,3420,-1110.8064516129032
848,053950,2790,-1106.3365075001866
910,306620,4235,-1085.7705425851693
313,002070,2500,-1077.3984954683813
737,241590,14900,-1075.2632971352784
1625,082210,6510,-1066.0046818435508
1046,187220,7420,-1059.153509811617
1953,045970,7870,-1056.4366710297247
955,025440,719,-1054.259523912641
1864,036180,1760,-1040.8884545968037
1892,047820,2505,-1032.5442045863522
2180,011080,1085,-1017.848907186303
1936,224060,186,-990.2831416389666
50,000040,812,-984.8380807303229
504,084680,2480,-973.9348971874591
1895,016920,3155,-973.0674702638808
1335,002800,5670,-972.9409050459774
775,079190,1460,-955.5062850887816
1986,139670,12450,-944.9069772300302
2033,043200,1245,-940.0943416965449
1919,032500,31850,-936.443322966997
2060,022100,5970,-934.8521941983399
571,109070,4100,-929.9529467741544
827,048550,4660,-916.4589415516334
1437,196170,48600,-909.5495527942516
356,000390,9270,-899.8852315489615
156,214330,1375,-885.9690178710036
448,007460,1540,-876.9987436878512
1524,262260,14650,-864.5836335359837
1687,038620,1440,-858.1973512792902
1125,033200,6870,-828.9614571300281
1207,014970,6150,-824.4628099173553
430,012170,1155,-817.7947771332854
2069,123010,1240,-814.2602581546265
970,096350,524,-812.3423323558052
567,033250,1210,-804.0625
880,035460,5820,-792.3256231932573
809,104200,11350,-783.6763322329041
1658,018620,2135,-781.6044511715811
401,011930,1870,-772.6083485685522
148,002720,5560,-771.9675650820898
1020,110990,8670,-770.3703703703703
1753,063760,6370,-762.4558585242244
1514,043220,1410,-716.8932636913746
1229,101000,909,-716.5077703950641
2159,043090,1760,-713.9503436157266
417,102280,849,-706.7995552905548
1756,095190,3495,-702.4253542721375
1970,060280,7460,-700.1731508470434
1038,043360,3730,-695.5555555555555
1124,250060,2120,-695.3399540969946
1945,041960,8080,-694.7011208509487
183,008060,7850,-685.7449730969029
1618,067170,8880,-683.4894736448862
768,056730,3100,-680.3018197918101
1300,043100,760,-670.6802366482459
34,003560,1060,-670.2400205746378
161,013700,2365,-668.1833121162431
305,007210,3590,-661.901983663944
834,317240,1210,-656.5691875864526
1069,215100,8660,-648.6979305651428
870,078130,2830,-645.3661717623886
1509,176440,1920,-641.71239003517
458,003520,4530,-633.2673768210066
820,099220,1880,-627.4630813752711
829,089230,579,-624.6750111679034
1362,359090,1975,-622.8461828991495
1861,043610,4905,-606.7234664909521
468,011690,2440,-606.5225210861561
2016,057680,3145,-605.4721005943065
1874,204840,1210,-602.547341232777
1034,310870,1965,-596.7990385169622
1694,313760,11600,-589.523999203346
1197,307870,2680,-586.1264628311664
219,069460,3060,-585.1527086080464
498,007660,7270,-569.8346336414713
1427,065660,20500,-569.3512468638149
591,015590,465,-563.0339420890224
1879,086060,5280,-562.0987279961284
2150,226440,1530,-512.0414690642345
1637,193250,2980,-496.43544518367673
125,035250,25600,-493.92237561378045
1878,109820,5360,-484.46476450501234
1371,260930,9720,-462.7333909604437
1797,019540,3190,-449.9204499204499
36,001060,26400,-436.4669783648098
1262,014620,9990,-424.82517482517477
1109,078160,21550,-419.940883636779
974,060900,949,-416.52486137468657
1995,073640,2215,-400.11515324909834
1270,053060,1170,-398.0753315466337
37,096760,4095,-394.3518481005513
2206,238490,8320,-389.84335192441176
1685,101730,13800,-384.7390796272337
2187,050090,736,-384.513606461911
1718,056080,6600,-382.5427024288022
1502,195990,906,-380.0048437546625
738,006060,5550,-378.5249457700651
1495,043340,1200,-376.80555555555554
988,206560,15800,-371.1088275259327
1806,049630,911,-364.96870974789476
2030,058530,1620,-362.8634082565143
1839,023440,2415,-357.58309694798425
791,024120,7470,-352.17391304347825
998,025950,25550,-347.61904761904765
565,009310,1225,-340.4260003313547
790,024840,2320,-335.9549350596379
240,008970,1300,-317.36474705996005
1872,270520,3200,-297.99184258545665
2178,092300,5030,-296.6745768796677
1084,029480,3680,-290.8827546143438
1072,900260,432,-290.74730344226435
1480,007820,6700,-288.5103114483786
1349,010280,1055,-284.0658861509579
1595,036000,2400,-280.01747135367003
1454,060230,1115,-278.3930188212894
1837,052670,2405,-244.42941249330906
900,094860,939,-203.8902193741536
1659,307280,1900,-196.40971813340104
891,242040,2455,-192.16335637541357
1167,006910,7000,-188.48021926559312
1550,101400,932,-182.0677999245676
206,000300,1140,-179.25801463079287
2143,037230,3980,-166.32129148482838
228,004140,3135,-165.30556744565123
1363,115530,739,-159.6456895663817
383,091090,941,-155.97207900672487
364,004410,309,-155.1905289406499
1606,065500,2005,-149.6397053931284
1777,083640,1240,-147.94047074441502
1025,109740,6530,-146.90150679502727
705,101530,8350,-133.94318926701547
2078,321260,2965,-132.9269580475094
309,003000,10700,-129.04033993813016
1368,900120,264,-124.78433852009123
1693,192390,3960,-123.86345892837839
1210,009620,1690,-121.75299296367136
1987,054780,10300,-120.7297417155993
1087,195500,4965,-111.75288799598192
1697,018000,2145,-105.85038254565475
1783,051370,15850,-102.45430795072865
771,083660,1905,-99.61675937151001
1766,096040,255,-98.70743681718217
1920,225430,1995,-78.8896638403847
846,094480,7970,-71.88405927141478
308,000890,897,-65.33921485941119
46,033180,2110,-55.33782203553508
1781,017250,1430,-54.64359569687856
1298,258790,2450,-54.418972630617944
2067,041020,1780,-51.696279334226325
301,003610,3630,-51.04682624629291
1127,006920,5760,-45.78754578754578
1863,303030,2835,-29.653942961703777
1065,228670,21750,-9.769636480844673
1676,076080,3905,-9.607649533697533
197,009320,2185,-8.395182214806479
519,007110,1745,-7.875376936842445
2065,331380,2745,-7.752546683897994
1972,051780,618,-2.00928369438152
505,350520,5760,0.0
1390,154030,6450,4.542801962090681
1247,027040,806,8.334668772425559
777,214270,5830,31.536073397630606
1317,159910,379,34.25095113945389
843,036620,1700,35.28986542881707
619,090080,1730,37.33908271424678
1180,033560,10500,38.01169590643275
501,093230,177,51.17330235878043
89,002360,1285,55.96860647078075
1383,149950,17250,56.383149127022264
1039,197140,4450,77.4248981104035
1403,038880,983,82.84449034100075
1940,101670,1840,84.65608465608464
2148,047080,4425,102.3270871643883
1329,139050,704,102.54619274780318
603,001420,5180,106.57894736842104
933,012340,3175,118.15805767058478
1748,900110,289,129.3183548814003
484,047400,2825,129.52380952380955
1911,089150,6330,139.35860058309038
1525,109960,591,148.29719812814014
2092,024850,1140,157.2450044272602
318,008040,1925,166.99186508020853
1375,050320,719,167.98209490577165
874,900070,780,169.13525997931524
1994,191420,16200,171.41798685236373
2032,033540,2085,176.32346467789222
202,006340,1940,183.61809227927176
188,006570,4160,187.19211822660094
1796,058450,869,189.6913395265208
788,067290,4070,191.64299113345487
2066,141020,1335,191.7558285540708
588,031820,960,196.94102671999028
449,003060,779,203.29886237163038
1535,073540,4340,204.38596491228068
1154,222160,9240,207.51814924263243
857,035290,2955,212.84284330432578
1079,039980,1205,218.09704053909914
211,001440,2130,224.43234845602024
767,058820,3055,227.8744952813924
2149,070590,2645,237.03988055495574
1636,066430,2390,240.70151756517802
1356,066790,678,243.90651095575015
1982,036170,1315,247.3697571340672
1775,033230,2630,248.62694177641524
1746,086890,7400,250.13058021735924
1811,045510,1855,252.101163540012
817,950110,5670,268.5787031224145
1488,098660,3050,269.57895127548437
1331,001000,2255,275.9752429611896
306,002760,1970,282.9716193656093
465,002630,920,287.47795689609984
1591,007530,2905,288.9261189837394
956,104040,2010,304.4603826277908
1351,222420,2005,314.5063240548157
1965,126600,7720,320.5512478983278
1227,027580,1850,335.24114948580274
825,184230,1145,338.4390656250513
1129,279600,11500,341.53143978341785
500,015020,1865,349.34518197686896
76,400760,5340,355.4502369668246
1306,086980,5400,359.0423408027344
1691,320000,2730,362.1788419661273
1677,196700,4240,363.404878146585
415,293940,7720,365.7043887086576
1724,072770,1820,367.241628549349
1792,016670,973,371.2421062677238
2053,054300,837,379.9842814690865
2070,290720,25000,383.4832444269306
1340,056700,2840,385.4458529063801
828,063440,2590,390.97810141296947
1221,054090,2790,394.6435531349683
1856,000440,30550,403.0749301845311
989,261200,8510,411.30541019075224
2185,061250,2930,417.8520387988997
1399,040910,10250,421.80048693046757
1647,215360,16950,424.871960783004
2179,138360,4480,425.28622456314554
759,060310,3070,426.3962581037711
1643,032820,2370,427.672323624994
322,001470,2560,430.6417998290914
115,077970,13800,436.7874280322087
731,093240,2320,437.49280608399386
2051,027710,3895,458.1004984894531
436,001780,3445,462.51732017665154
2015,033830,1235,462.8
879,049080,2380,470.32403016332995
1631,065530,3285,475.59591373439275
840,052220,4245,481.7391304347826
509,006490,2720,482.66739474458745
1574,037950,1440,484.32447139151606
570,006380,4450,489.49999975
169,002350,6320,493.30446693338075
864,090150,2295,495.49147067923684
485,011330,1250,497.0527509579168
1648,072470,4205,522.5722344929336
1638,273060,1650,538.1569213650062
1279,036630,520,544.1778523489933
462,012160,1055,551.6710569377832
551,044380,1080,568.2504999557088
1467,065420,891,573.3282413911966
1131,218150,8630,574.4918385970457
1742,115610,2620,576.0595646894666
1216,065570,6220,576.2455287701234
1820,159580,9160,581.0518396081275
1833,033050,1280,581.9638714618607
1268,043260,1590,593.5731124037981
1561,227950,1600,605.596060415192
1380,074430,2215,610.2917691087704
1071,108490,19250,610.8102662838697
1036,079810,8020,611.9438926215522
8,011150,3895,613.4017768000705
1421,013310,3090,623.3478640298699
1914,073010,1955,624.1666553152515
2020,277880,11750,629.6457959138309
1937,104540,11900,636.0707743628843
2109,163730,14650,645.4568123771077
1655,046940,5230,653.4121559004889
1741,065440,3150,662.1443353662069
187,005750,7710,662.1785674870324
43,092220,3215,662.6682687413581
680,025750,1665,677.7123939781951
238,001520,1465,678.4282032269576
370,003080,4205,679.8201798201799
758,003280,2690,683.6230385605777
1928,217600,2645,684.295068033336
