,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,ROA,CurrentRatio,LiabRatio,GrossMargin,AssetTurnover,ROA_prev,GrossMargin_prev,AssetTurnover_prev,LiabRatio_prev,CurrentRatio_prev,SHARES_prev,F_ROA,F_ROA_dt,F_CFO,F_Accrual,F_Liquid,F_Lever,F_Shares,F_Margin,F_Turn,F_Score
1508,383310,2022-05-10,43900,122228,5258993300,671886514800,15304932,2021-12-31,Y,128973000000,17077000000,17500000000,7443000000,40820000000,58032000000,23906000000,0,8181000000,903999999,6761000000,62760000000,62760000000,84174000000,90904000000,25927000000,64978000000,13877000000,499000000,11486000000,11486000000,441000000,213000000,2278000000,3138000000,270000000,4372000000,58.49612700679088,8.905739961077124,1.450475599669148,0.9246653919694072,0.28521297192642786,0.704829693036527,,,,,,15304932,0,0,0,0,0,0,0,0,0,0
1509,038110,2022-05-10,3460,54762473,206172926765,118226020200,34169370,2021-12-31,Y,683487000000,85475000000,5827000000,8206000000,171342000000,460081000000,273864000000,0,94342000000,651000000,47560000000,129064000000,129064000000,306511000000,1517575000000,64487000000,1453088000000,15775000000,6167000000,5429000000,4390000000,11421000000,6847000000,6315000000,48498000000,4478000000,-1718000000,21.77675818751151,0.7943091821790319,0.6662109498110116,3.564750821297961,0.04249345172396751,2.2203421572026976,-1.0232658335339737,0.03330987839815952,2.046276642927744,4.116281189094686,0.5075958166554497,34169370,0,0,0,0,0,0,0,0,0,0
1510,073540,2022-05-10,4340,3469577,15449474060,49476000000,11400000,2021-12-31,Y,76779000000,1035000000,3738000000,5313000000,1709000000,18228000000,3485000000,0,14331000000,0,799000000,44220000000,44174000000,12037000000,23117000000,5062000000,18054000000,-2153000000,356000000,234000000,233000000,448000000,73000000,299000000,1034000000,9000000,1251000000,211.43589743589743,0.30477083577540737,0.6603576914636823,0.41221166892808686,0.21897305013626336,0.3010849320777817,-6.03621104980962,0.23166625605649996,0.3784909472375476,0.533597932434927,0.7981894712564147,11400000,0,0,0,0,0,0,0,0,0,0
1511,064850,2022-05-10,8520,8462,71777300,102921600000,12080000,2021-12-31,Y,95094000000,0,7389000000,12976000000,2655000000,9398000000,3422000000,342000000,35074000000,0,611000000,50622000000,50583000000,26492000000,25524000000,25524000000,0,5110000000,1288000000,5469000000,5469000000,307000000,988000000,756000000,754000000,601000000,6595000000,18.819089413055405,5.75115149220771,2.8188976377952755,0.185650507684406,1.0,0.2684081014575052,7.570385481042797,1.0,0.3411530428925017,0.14427790155965162,3.1680471711357576,12080000,0,0,0,0,0,0,0,0,0,0
1512,064090,2022-05-10,3570,54989,190406320,39232190130,10989409,2021-12-31,Y,22863000000,9869000000,100000000,2376000000,4684000000,9882000000,2576000000,0,132000000,0,0,12847999999,12847999999,19222000000,30301000000,9046000000,21255000000,-7850000000,832000000,851000000,851000000,559000000,501000000,2000000,803999999,25000000,-1431000000,46.10128099882491,3.722171193631632,1.9451528030763003,0.7691469490013346,0.2985380020461371,1.3253291344093077,-95.29598183667196,-0.023282733075371233,0.7151100915261452,3.1811328241245906,0.7056347251239515,10989409,0,0,0,0,0,0,0,0,0,0
1513,036810,2022-05-10,20000,189648,3749875450,435135780000,21756789,2021-12-31,Y,345877000000,36091000000,398000000,44391000000,24537000000,74029000000,25054000000,0,63154000000,2902000000,3547000000,208694000000,204472000000,109160999999,213658000000,81949000000,131708999999,22636000000,5256000000,28216000000,32144000000,1346000000,415000000,7156000000,9927000000,488999999,22519000000,15.421596966260278,8.157813326702845,1.474570776303881,0.35472509990704093,0.38355221896675995,0.6177282675633246,8.334002301249633,0.3636418348800539,0.7410291402424339,0.3890241716140309,1.4864729940186723,21756789,0,0,0,0,0,0,0,0,0,0
1514,173940,2022-05-10,8820,25362,219695260,126698241600,14364880,2021-12-31,Y,130681000000,1117000000,22469000000,24269000000,6803000000,35271000000,8511000000,0,37398000000,70000000,816000000,58012000000,57889000000,62079999999,74189000000,7636000000,66553000000,-4192000000,1499000000,-9416000000,-9291000000,2057999999,1583000000,2653000000,3633000000,3756000000,-2766000000,-13.45563313508921,-7.205332068165991,1.7600861897592923,0.6079948976073916,0.1029263098302983,0.5677106847973309,-5.95095557816607,0.06330686917500863,0.5488322395882818,0.7093358183666554,2.11343604442852,14364880,0,0,0,0,0,0,0,0,0,0
1515,083500,2022-05-10,10350,57080,575470430,87878972700,8490722,2021-12-31,Y,99793000000,15456000000,24000000,14635000000,5407000000,20581000000,3307000000,0,18722000000,97000000,261000000,60490000000,58074000000,36226000000,66086000000,11346000000,54740000000,2356000000,354000000,931000000,1553000000,511000000,70000000,442000000,2078000000,79000000,-9358000000,94.39202223415683,0.9329311675167598,1.7601671444536222,0.34023805587700445,0.17168537965681083,0.6622308177928311,7.2947194543613785,0.22476335545642476,0.8162377222429442,0.7093648547406975,1.5152318813368382,8490722,0,0,0,0,0,0,0,0,0,0
1516,054940,2022-05-10,1270,229471,284019685,42130405960,33173548,2021-12-31,Y,178817000000,29513000000,6531000000,10639000000,72335000000,99191000000,56970000000,0,12927000000,140000000,362000000,66699000000,53998000000,125217000000,220813000000,19609000000,201204000000,-4013000000,826000000,-3699000000,-4672000000,1682999999,1551000000,1497000000,2308000000,210000000,-12442000000,-11.389674495809679,-2.0685952677877384,1.262382675847607,1.4871437352883852,0.08880364833592225,1.2348546279156905,-0.15710580244099293,0.08610563338199265,1.4434141863459655,1.1455037438973756,1.362554680664917,33173548,0,0,0,0,0,0,0,0,0,0
1517,950130,2022-05-10,16400,214294,3449148950,595574642800,36315527,2021-12-31,Y,442009000000,54477000000,8965000000,199083000000,55724000000,138250000000,42858000000,0,13712000000,110000000,0,290047000000,286590000000,328190000000,505112000000,396389000000,108723000000,260123999999,950000000,190077000000,189690000000,5527000000,4079000000,66683000000,5729000000,336000000,163477000000,3.1333335585052375,43.00297052774943,2.373887884267631,0.4766468882629367,0.7847546682715912,1.1427640613652663,28.094297936351243,0.7450594021199208,0.7156783246368636,0.8033825175067201,1.6075274993538011,36315527,0,0,0,0,0,0,0,0,0,0
